frame,tStart,tEnd,volNorm,ste,zcr,isSilence,f0Acf,f0Amdf,isVoiced
0,0.000000,0.020000,8.9892296901639612E-05,8.0806250422525272E-09,0.29545454545454547,0,0,0,0
1,0.009977,0.029977,0.00010613401730967477,1.1264429630290342E-08,0.28863636363636364,0,0,79.891304347826093,0
2,0.019955,0.039955,0.00011293608027734359,1.2754558228410596E-08,0.22954545454545455,0,0,0,0
3,0.029932,0.049932,0.00011614866955445061,1.3490513439268962E-08,0.22272727272727272,0,0,0,0
4,0.039909,0.059909,0.00013211113329620992,1.7453351540808944E-08,0.20681818181818182,0,0,0,0
5,0.049887,0.069887,0.00013813070575616169,1.9080091872695321E-08,0.18863636363636363,0,0,0,0
6,0.059864,0.079864,0.00013939324804180552,1.9430477599644318E-08,0.22045454545454546,0,0,79.891304347826093,0
7,0.069841,0.089841,0.00010304224428761623,1.0617704107828778E-08,0.26363636363636361,0,0,79.891304347826093,0
8,0.079819,0.099819,0.00010063313862978087,1.0127028590480696E-08,0.24545454545454545,0,0,0,0
9,0.089796,0.109796,0.00012802682453451483,1.6390867800391447E-08,0.21818181818181817,0,0,0,0
10,0.099773,0.119773,0.00010758490727340668,1.1574512273027514E-08,0.26136363636363635,0,0,0,0
11,0.109751,0.129751,9.341403381914926E-05,8.7261817143651625E-09,0.25681818181818183,0,0,0,0
12,0.119728,0.139728,8.0688065324079869E-05,6.5105638857429791E-09,0.26590909090909093,0,0,80.769230769230774,0
13,0.129705,0.149705,9.211496480158676E-05,8.4851667403975669E-09,0.22727272727272727,0,0,0,0
14,0.139683,0.159683,0.0001239516973680163,1.5364023280412301E-08,0.1409090909090909,0,0,0,0
15,0.149660,0.169660,0.00011821975157470955,1.3975909662386039E-08,0.1409090909090909,0,279.11392405063293,0,1
16,0.159637,0.179637,0.00012141641421803466,1.4741945641565369E-08,0.17727272727272728,0,302.05479452054794,0,1
17,0.169615,0.189615,0.00010881169521114573,1.1839985014723275E-08,0.19545454545454546,0,279.11392405063293,79.891304347826093,1
18,0.179592,0.199592,0.00024647107260278436,6.0747989629966986E-08,0.12045454545454545,0,302.05479452054794,79.891304347826093,1
19,0.189569,0.209569,0.00025634266854437682,6.5711563716452246E-08,0.029545454545454545,1,0,0,0
20,0.199546,0.219546,0.00024659063670929237,6.0806942112694198E-08,0.040909090909090909,0,302.05479452054794,0,1
21,0.209524,0.229524,0.0001282471154281985,1.644732261565367E-08,0.10227272727272728,0,302.05479452054794,0,1
22,0.219501,0.239501,0.00010481439200202172,1.0986056770753474E-08,0.15909090909090909,0,0,80.769230769230774,0
23,0.229478,0.249478,9.8341129043889546E-05,9.6709776616269348E-09,0.21590909090909091,0,0,0,0
24,0.239456,0.259456,9.3746087712408713E-05,8.7883289613826277E-09,0.25454545454545452,0,0,107.03883495145631,0
25,0.249433,0.269433,8.4135163251046179E-05,7.0787256952801913E-09,0.26590909090909093,0,0,0,0
