frame,tStart,tEnd,volNorm,ste,zcr,isSilence,f0Acf,f0Amdf,isVoiced
0,0.000000,0.020000,0.007643742129950384,5.8426793749178438E-05,0.015909090909090907,1,0,0,0
1,0.009977,0.029977,0.014395715814103052,0.00020723663380041668,0.015909090909090907,1,0,0,0
2,0.019955,0.039955,0.012713226627221566,0.00016162613127509542,0.018181818181818181,1,0,0,0
3,0.029932,0.049932,0.0061452162606405241,3.7763682890040709E-05,0.031818181818181815,0,185.29411764705881,183.75,1
4,0.039909,0.059909,0.0025603409918932753,6.5553459947690419E-06,0.097727272727272732,0,193.42105263157896,179.26829268292684,1
5,0.049887,0.069887,0.0055262662854772097,3.0539619058002079E-05,0.29999999999999999,0,0,80.474452554744531,0
6,0.059864,0.079864,0.00999844146883214,9.9968831805662207E-05,0.4681818181818182,0,0,0,0
7,0.069841,0.089841,0.016367957106767476,0.00026791001984897994,0.41136363636363638,0,0,0,0
8,0.079819,0.099819,0.033862823384651949,0.0011466908075801307,0.20454545454545456,0,225,222.72727272727272,1
9,0.089796,0.109796,0.063271165205163737,0.0040032403464191225,0.047727272727272729,0,218.31683168316832,218.31683168316832,1
10,0.099773,0.119773,0.099043123511747225,0.0098095403149632172,0.022727272727272728,0,220.5,220.5,1
11,0.109751,0.129751,0.12957383068706349,0.016789377598919793,0.031818181818181815,0,222.72727272727272,222.72727272727272,1
12,0.119728,0.139728,0.1695502551986563,0.028747289037929478,0.040909090909090909,0,225,225,1
13,0.129705,0.149705,0.22790628628810464,0.051941275329635515,0.038636363636363635,0,216.1764705882353,216.1764705882353,1
14,0.139683,0.159683,0.27296834996485647,0.074511720082536356,0.038636363636363635,0,214.07766990291262,214.07766990291262,1
15,0.149660,0.169660,0.25835169178395728,0.066745596647632868,0.038636363636363635,0,204.16666666666666,206.07476635514018,1
16,0.159637,0.179637,0.20897880892986023,0.043672142581743033,0.036363636363636362,0,202.29357798165137,202.29357798165137,1
17,0.169615,0.189615,0.17256979327502983,0.02978033355098653,0.034090909090909088,0,196.875,198.64864864864865,1
18,0.179592,0.199592,0.15988804879001722,0.025564188145878929,0.034090909090909088,0,190.08620689655172,190.08620689655172,1
19,0.189569,0.209569,0.15186913105082767,0.023064232966133465,0.036363636363636362,0,193.42105263157896,193.42105263157896,1
20,0.199546,0.219546,0.13791876359892319,0.019021585352655659,0.036363636363636362,0,191.7391304347826,190.08620689655172,1
21,0.209524,0.229524,0.10112961956393476,0.010227199953146178,0.027272727272727271,0,196.875,195.13274336283186,1
22,0.219501,0.239501,0.053748610267367936,0.00288891310567341,0.029545454545454545,0,193.42105263157896,196.875,1
23,0.229478,0.249478,0.023409234021795938,0.00054799223748720847,0.20227272727272727,0,180.73770491803279,84.482758620689651,1
24,0.239456,0.259456,0.015760743373253731,0.00024840103167756143,0.39090909090909093,0,0,0,0
25,0.249433,0.269433,0.019480345006684975,0.00037948384157947626,0.42727272727272725,0,0,0,0
