frame,tStart,tEnd,volNorm,ste,zcr,isSilence,f0Acf,f0Amdf,isVoiced
0,0.000000,0.020000,0.00069091986617494396,4.7737026147520252E-07,0.13409090909090909,0,0,58.488063660477451,0
1,0.009977,0.029977,0.00053988605138248177,2.9147694847736776E-07,0.125,0,0,51.041666666666664,0
2,0.019955,0.039955,0.00088279689433682219,7.7933035665073846E-07,0.14545454545454545,0,400.90909090909093,50.689655172413794,1
3,0.029932,0.049932,0.00036021105113152229,1.2975200135727618E-07,0.22727272727272727,0,0,50.806451612903224,0
4,0.039909,0.059909,0.00090045248632207803,8.108146801236121E-07,0.13181818181818181,0,393.75,50.573394495412842,1
5,0.049887,0.069887,0.00058265977962410141,3.3949241879160646E-07,0.084090909090909091,0,393.75,50.342465753424655,1
6,0.059864,0.079864,0.00088919396592607777,7.9066590903934681E-07,0.07045454545454545,0,400.90909090909093,50.342465753424655,1
7,0.069841,0.089841,0.00067829735976905592,4.6008730826967212E-07,0.06363636363636363,0,386.84210526315792,50.45766590389016,1
8,0.079819,0.099819,0.00037565106617876864,1.4111372352124563E-07,0.18863636363636363,0,0,50.342465753424655,0
9,0.089796,0.109796,0.00050499107824892306,2.5501598911100999E-07,0.14772727272727273,0,400.90909090909093,50.342465753424655,1
10,0.099773,0.119773,0.00063995613921116062,4.0954386011405434E-07,0.11363636363636363,0,400.90909090909093,51.760563380281688,1
11,0.109751,0.129751,0.00049559759926795283,2.4561698040015838E-07,0.15681818181818183,0,0,50.45766590389016,0
12,0.119728,0.139728,0.00052459277009002728,2.7519757443072823E-07,0.18181818181818182,0,0,50.113636363636367,0
13,0.129705,0.149705,0.00055599852831998686,3.0913436349399127E-07,0.23636363636363636,0,0,51.279069767441861,0
14,0.139683,0.159683,0.0007670228854553164,5.8832410681219939E-07,0.15681818181818183,0,344.53125,51.160092807424597,1
15,0.149660,0.169660,0.0005373883652965676,2.8878625515611712E-07,0.093181818181818185,0,386.84210526315792,51.3986013986014,1
16,0.159637,0.179637,0.00072256251005155335,5.2209658093200108E-07,0.090909090909090912,0,400.90909090909093,50.45766590389016,1
17,0.169615,0.189615,0.00074862569148641765,5.6044042595351702E-07,0.12045454545454545,0,0,51.518691588785046,0
18,0.179592,0.199592,0.00038752579491679699,1.5017624172589539E-07,0.14999999999999999,0,0,50.113636363636367,0
19,0.189569,0.209569,0.00058715652925989429,3.4475278985252513E-07,0.090909090909090912,0,0,51.160092807424597,0
20,0.199546,0.219546,0.00084855610165121651,7.2004745764950971E-07,0.047727272727272729,0,0,51.3986013986014,0
21,0.209524,0.229524,0.0017719604596478826,3.1398438705555356E-06,0.025000000000000001,1,0,0,0
22,0.219501,0.239501,0.0062964698419121163,3.9645532470108787E-05,0.011363636363636364,1,0,0,0
23,0.229478,0.249478,0.01534719846734338,0.00023553650079602699,0.011363636363636364,1,0,0,0
24,0.239456,0.259456,0.014992382114426078,0.00022477152146496295,0.011363636363636364,1,0,0,0
25,0.249433,0.269433,0.021685114013496799,0.00047024416977835525,0.015909090909090907,1,0,0,0
26,0.259410,0.279410,0.025290340536107101,0.00063960132443226193,0.015909090909090907,1,0,0,0
27,0.269388,0.289388,0.023470673503947947,0.00055087251472892419,0.015909090909090907,1,0,0,0
28,0.279365,0.299365,0.021578422525898901,0.00046562831870622102,0.015909090909090907,1,0,0,0
29,0.289342,0.309342,0.017047946605745393,0.00029063248347234585,0.013636363636363636,1,0,0,0
30,0.299320,0.319320,0.017350372443521393,0.00030103542392890647,0.013636363636363636,1,0,0,0
31,0.309297,0.329297,0.016219989194865229,0.00026308804948154481,0.013636363636363636,1,0,0,0
32,0.319274,0.339274,0.0099343326615643421,9.8690965430624068E-05,0.011363636363636364,1,0,0,0
33,0.329252,0.349252,0.0056169279203846885,3.1549879262797064E-05,0.0068181818181818179,1,0,0,0
34,0.339229,0.359229,0.032659123263009515,0.0010666183323084491,0.056818181818181816,0,0,50.113636363636367,0
35,0.349206,0.369206,0.040134089014534052,0.001610745101026543,0.086363636363636365,0,0,52.004716981132077,0
36,0.359184,0.379184,0.067922895102953185,0.0046135196791667809,0.052272727272727269,0,0,51.160092807424597,0
37,0.369161,0.389161,0.11984192956422832,0.01436208808167746,0.040909090909090909,0,0,52.004716981132077,0
38,0.379138,0.399138,0.16440969614169434,0.027030548185404266,0.031818181818181815,0,0,51.882352941176471,0
39,0.389116,0.409116,0.17005133479013065,0.028917456463905096,0.029545454545454545,0,0,53.389830508474574,0
40,0.399093,0.419093,0.15703587445736419,0.024660265866589048,0.036363636363636362,0,0,50.113636363636367,0
41,0.409070,0.429070,0.1203770317296519,0.014490629768041621,0.029545454545454545,0,0,50.113636363636367,0
42,0.419048,0.439048,0.14619645514285962,0.021373403496338164,0.022727272727272728,0,0,50.113636363636367,0
43,0.429025,0.449025,0.16776265807368515,0.028144309443948197,0.029545454545454545,0,0,51.041666666666664,0
44,0.439002,0.459002,0.14768017020461643,0.021809432671664478,0.034090909090909088,0,0,50.92378752886836,0
45,0.448980,0.468980,0.11650849698011444,0.013574229868565336,0.027272727272727271,0,0,51.279069767441861,0
46,0.458957,0.478957,0.13717078374086425,0.01881582391208295,0.022727272727272728,0,0,52.004716981132077,0
47,0.468934,0.488934,0.16409895845444428,0.026928468165833427,0.027272727272727271,0,0,51.160092807424597,0
48,0.478912,0.498912,0.1754573180840403,0.030785270469244095,0.031818181818181815,0,0,50.689655172413794,0
49,0.488889,0.508889,0.13862332348416062,0.019216425813794239,0.029545454545454545,0,0,50.113636363636367,0
50,0.498866,0.518866,0.13498981307265359,0.018222249633389961,0.027272727272727271,0,0,50.113636363636367,0
51,0.508844,0.528844,0.16510311910771611,0.027259039939096692,0.025000000000000001,0,0,53.004807692307693,0
52,0.518821,0.538821,0.11493795995429334,0.013210734638454742,0.027272727272727271,0,0,52.5,0
53,0.528798,0.548798,0.036762284674653985,0.0013514655745002992,0.018181818181818181,1,0,0,0
54,0.538776,0.558776,0.017460636313039218,0.00030487382045622379,0.015909090909090907,1,0,0,0
55,0.548753,0.568753,0.037387922385403984,0.0013978567402969924,0.027272727272727271,1,0,0,0
56,0.558730,0.578730,0.077066090503234264,0.0059391823054526938,0.027272727272727271,0,0,53.004807692307693,0
57,0.568707,0.588707,0.080625627947881348,0.0065004918819901863,0.027272727272727271,0,0,51.041666666666664,0
58,0.578685,0.598685,0.02839743824707875,0.00080641449899665105,0.025000000000000001,1,0,0,0
59,0.588662,0.608662,0.045713709457385773,0.0020897432323542815,0.029545454545454545,1,0,0,0
60,0.598639,0.618639,0.023872235273078145,0.00056988361693319635,0.022727272727272728,1,0,0,0
61,0.608617,0.628617,0.04527978647875127,0.0020502590635613064,0.0068181818181818179,1,0,0,0
62,0.618594,0.638594,0.047773383064976395,0.0022822961294729736,0.0068181818181818179,1,0,0,0
63,0.628571,0.648571,0.025506084678172881,0.00065056035561012544,0.0090909090909090905,1,0,0,0
64,0.638549,0.658549,0.042759916486804987,0.0018284104579585371,0.011363636363636364,1,0,0,0
