frame,tStart,tEnd,volNorm,ste,zcr,isSilence,f0Acf,f0Amdf,isVoiced
0,0.000000,0.020000,0.0039468099275644965,1.5577308604321666E-05,0.022727272727272728,1,0,0,0
1,0.009977,0.029977,0.0065332433752027224,4.268326899963026E-05,0.015909090909090907,1,0,0,0
2,0.019955,0.039955,0.0019195392527892971,3.6846309429988929E-06,0.050000000000000003,0,400.90909090909093,50.342465753424655,1
3,0.029932,0.049932,0.0014902404400210928,2.2208165690742601E-06,0.084090909090909091,0,206.07476635514018,50.113636363636367,1
4,0.039909,0.059909,0.0016880766873503125,2.8496029023756048E-06,0.10454545454545454,0,400.90909090909093,50.113636363636367,1
5,0.049887,0.069887,0.0026242659552018189,6.8867718036313142E-06,0.061363636363636363,0,400.90909090909093,52.751196172248804,1
6,0.059864,0.079864,0.0046672426261301818,2.1783153731166558E-05,0.015909090909090907,1,0,0,0
7,0.069841,0.089841,0.0044072808642383115,1.9424124616281198E-05,0.045454545454545456,0,250.56818181818181,50.227790432801825,1
8,0.079819,0.099819,0.0058514655099762706,3.4239648614441855E-05,0.056818181818181816,0,400.90909090909093,50.113636363636367,1
9,0.089796,0.109796,0.0090729343682478449,8.2318138050532926E-05,0.047727272727272729,0,106.00961538461539,104.50236966824644,1
10,0.099773,0.119773,0.050395035092657685,0.0025396595619901997,0.038636363636363635,0,0,51.882352941176471,0
11,0.109751,0.129751,0.10144482901902714,0.010291053334699651,0.027272727272727271,0,0,50.113636363636367,0
12,0.119728,0.139728,0.1252345146761627,0.015683683666174009,0.029545454545454545,0,0,56.97674418604651,0
13,0.129705,0.149705,0.11875557901855259,0.014102887548031687,0.020454545454545454,0,0,66.818181818181813,0
14,0.139683,0.159683,0.10581085117380733,0.011195936226125603,0.015909090909090907,0,0,50.342465753424655,0
15,0.149660,0.169660,0.10354329109025336,0.010721213129800941,0.020454545454545454,0,0,53.649635036496349,0
16,0.159637,0.179637,0.11708291218009115,0.013708408324570934,0.018181818181818181,0,0,50.113636363636367,0
17,0.169615,0.189615,0.14332911940513804,0.020543236469452317,0.013636363636363636,0,0,50.113636363636367,0
18,0.179592,0.199592,0.1390659214154088,0.019339330499116656,0.022727272727272728,0,0,50.113636363636367,0
19,0.189569,0.209569,0.12992748865474515,0.016881152308128932,0.029545454545454545,0,0,50.113636363636367,0
20,0.199546,0.219546,0.13655975730538192,0.018648567315304808,0.022727272727272728,0,0,50.45766590389016,0
21,0.209524,0.229524,0.14324437053859568,0.0205189496909985,0.022727272727272728,0,0,51.518691588785046,0
22,0.219501,0.239501,0.16233575287790278,0.026352896662435517,0.025000000000000001,0,0,51.160092807424597,0
23,0.229478,0.249478,0.17067895477632125,0.029131305603537515,0.029545454545454545,0,0,50.227790432801825,0
24,0.239456,0.259456,0.16207032479509989,0.026266790179189169,0.029545454545454545,0,0,63.913043478260867,0
25,0.249433,0.269433,0.1181180159347309,0.013951865688357341,0.029545454545454545,0,0,50.689655172413794,0
26,0.259410,0.279410,0.12917498892994175,0.016686177765050575,0.025000000000000001,0,0,52.127659574468083,0
27,0.269388,0.289388,0.15629837788873632,0.024429182930650217,0.011363636363636364,0,0,51.760563380281688,0
28,0.279365,0.299365,0.08943656298755373,0.0079988987990266668,0.0068181818181818179,0,0,51.882352941176471,0
29,0.289342,0.309342,0.048732562206048054,0.0023748626191663429,0.0068181818181818179,1,0,0,0
30,0.299320,0.319320,0.044220359339267767,0.0019554401800939663,0.0068181818181818179,1,0,0,0
31,0.309297,0.329297,0.027746984416849283,0.00076989514422887704,0.0022727272727272726,1,0,0,0
32,0.319274,0.339274,0.019329992177762472,0.00037364859759235838,0.0022727272727272726,1,0,0,0
33,0.329252,0.349252,0.056468257952838934,0.0031886641562283574,0.011363636363636364,0,400.90909090909093,51.279069767441861,1
34,0.339229,0.359229,0.098734111796116644,0.0097484248321680605,0.015909090909090907,0,400.90909090909093,53.260869565217391,1
35,0.349206,0.369206,0.13270676081908214,0.017611084367093074,0.020454545454545454,0,0,52.751196172248804,0
36,0.359184,0.379184,0.18087078019088379,0.032714239126859002,0.022727272727272728,0,0,54.176904176904173,0
37,0.369161,0.389161,0.17299926191079704,0.029928744621680551,0.015909090909090907,0,0,50.113636363636367,0
38,0.379138,0.399138,0.15607255908321441,0.024358643698783454,0.015909090909090907,0,0,63.728323699421964,0
39,0.389116,0.409116,0.12816671444377598,0.016426706691312413,0.018181818181818181,0,0,50.113636363636367,0
40,0.399093,0.419093,0.11644204490673243,0.013558749822061492,0.018181818181818181,0,0,50.342465753424655,0
41,0.409070,0.429070,0.12296902064438348,0.015121380038238808,0.029545454545454545,0,0,72.058823529411768,0
42,0.419048,0.439048,0.16745004796607579,0.028039518563841084,0.040909090909090909,0,0,50.227790432801825,0
43,0.429025,0.449025,0.098939501255644061,0.0097890249087155927,0.025000000000000001,0,0,59.433962264150942,0
44,0.439002,0.459002,0.12456623049471217,0.015516745779661762,0.011363636363636364,0,400.90909090909093,55.68181818181818,1
45,0.448980,0.468980,0.089599908037675452,0.008028143520359899,0.013636363636363636,0,0,50.113636363636367,0
46,0.458957,0.478957,0.074207395896660908,0.0055067376057637667,0.013636363636363636,0,0,50.227790432801825,0
47,0.468934,0.488934,0.056909897476469275,0.0032387364307822439,0.0090909090909090905,0,0,50.342465753424655,0
48,0.478912,0.498912,0.059155652255261294,0.0034993911937454009,0.0068181818181818179,0,0,50.113636363636367,0
49,0.488889,0.508889,0.055010877133582686,0.0030261966030061308,0.0090909090909090905,0,0,50.689655172413794,0
50,0.498866,0.518866,0.054947782897857553,0.0030192588453900869,0.0090909090909090905,0,0,50.113636363636367,0
51,0.508844,0.528844,0.054167696127440386,0.0029341393037547198,0.0068181818181818179,0,0,51.279069767441861,0
52,0.518821,0.538821,0.042403895146883953,0.0017980903236279285,0.0045454545454545452,1,0,0,0
53,0.528798,0.548798,0.030624364518203467,0.00093785170214379955,0.0068181818181818179,1,0,0,0
