frame,tStart,tEnd,volNorm,ste,zcr,isSilence,f0Acf,f0Amdf,isVoiced
0,0.000000,0.020000,0.0010461437182082449,1.0944166791465717E-06,0.22727272727272727,0,0,80.181818181818187,0
1,0.009977,0.029977,0.00080042142361535292,6.4067445538242822E-07,0.2818181818181818,0,0,0,0
2,0.019955,0.039955,0.0008533558160532279,7.2821614879187056E-07,0.25681818181818183,0,0,80.181818181818187,0
3,0.029932,0.049932,0.0053447693414418419,2.8566559313216656E-05,0.17954545454545454,0,0,0,0
4,0.039909,0.059909,0.019898674816291217,0.00039595725944450234,0.125,0,0,79.891304347826093,0
5,0.049887,0.069887,0.030052791217972361,0.00090317025999103664,0.086363636363636365,0,0,0,0
6,0.059864,0.079864,0.038892712722797679,0.0015126431029380684,0.074999999999999997,0,0,0,0
7,0.069841,0.089841,0.037608039138085254,0.0014143646078117525,0.084090909090909091,0,137.8125,81.066176470588232,1
8,0.079819,0.099819,0.085480349829367308,0.0073068902069510161,0.072727272727272724,0,132.83132530120483,132.83132530120483,1
9,0.089796,0.109796,0.082599608829860685,0.0068226953788459981,0.05909090909090909,0,134.45121951219511,133.63636363636363,1
10,0.099773,0.119773,0.1158740514744571,0.013426795805105135,0.050000000000000003,0,139.55696202531647,79.891304347826093,1
11,0.109751,0.129751,0.11899421989722946,0.014159624368950198,0.047727272727272729,0,141.34615384615384,141.34615384615384,1
12,0.119728,0.139728,0.080285928974293347,0.0064458303912652767,0.043181818181818182,0,0,79.891304347826093,0
13,0.129705,0.149705,0.028524657762414436,0.00081365610046287018,0.029545454545454545,1,0,0,0
14,0.139683,0.159683,0.029386375095521635,0.00086355904125469418,0.029545454545454545,1,0,0,0
15,0.149660,0.169660,0.028844576704019697,0.00083200960523407573,0.027272727272727271,1,0,0,0
16,0.159637,0.179637,0.027441473486766614,0.000753034467124915,0.011363636363636364,1,0,0,0
17,0.169615,0.189615,0.025473422934441697,0.00064889527599694017,0.011363636363636364,1,0,0,0
18,0.179592,0.199592,0.023965153914274524,0.0005743286021348675,0.022727272727272728,1,0,0,0
19,0.189569,0.209569,0.022605096335332225,0.00051099038032965038,0.031818181818181815,0,134.45121951219511,133.63636363636363,1
20,0.199546,0.219546,0.042676995287828555,0.0018213259267973404,0.034090909090909088,0,0,79.891304347826093,0
21,0.209524,0.229524,0.079263045595764803,0.0062826303971162895,0.043181818181818182,0,144.11764705882354,79.891304347826093,1
22,0.219501,0.239501,0.094898836367181313,0.0090057891438450558,0.052272727272727269,0,145.06578947368422,146.02649006622516,1
23,0.229478,0.249478,0.11932129560609159,0.014237571585116293,0.054545454545454543,0,294,83.20754716981132,1
24,0.239456,0.259456,0.11156034204328079,0.012445709916813805,0.052272727272727269,0,143.18181818181819,143.18181818181819,1
25,0.249433,0.269433,0.097902065976108524,0.0095848145223903069,0.052272727272727269,0,142.25806451612902,79.891304347826093,1
26,0.259410,0.279410,0.097359596906250984,0.0094788911097476759,0.052272727272727269,0,142.25806451612902,80.181818181818187,1
27,0.269388,0.289388,0.095738672264742225,0.009165893367015723,0.050000000000000003,0,141.34615384615384,141.34615384615384,1
28,0.279365,0.299365,0.089183540426314586,0.0079537038829720873,0.052272727272727269,0,139.55696202531647,79.891304347826093,1
29,0.289342,0.309342,0.079185133379424871,0.0062702853483173077,0.05909090909090909,0,139.55696202531647,138.67924528301887,1
30,0.299320,0.319320,0.06761550500153099,0.004571856516612063,0.054545454545454543,0,139.55696202531647,79.891304347826093,1
31,0.309297,0.329297,0.057790056527933911,0.0033396906335017968,0.047727272727272729,0,141.34615384615384,140.44585987261146,1
32,0.319274,0.339274,0.048684499765157124,0.0023701805173835843,0.052272727272727269,0,141.34615384615384,141.34615384615384,1
33,0.329252,0.349252,0.037005948718562803,0.0013694402405609002,0.050000000000000003,0,141.34615384615384,79.891304347826093,1
34,0.339229,0.359229,0.026786568294718548,0.00071752024100762101,0.047727272727272729,0,142.25806451612902,141.34615384615384,1
35,0.349206,0.369206,0.023500102712998894,0.00055225482752149801,0.036363636363636362,0,144.11764705882354,142.25806451612902,1
36,0.359184,0.379184,0.019875297955329205,0.00039502746881311333,0.029545454545454545,1,0,0,0
37,0.369161,0.389161,0.013651663664355843,0.00018636792080469359,0.034090909090909088,0,133.63636363636363,129.70588235294119,1
38,0.379138,0.399138,0.0076501841547848932,5.8525317602121848E-05,0.068181818181818177,0,145.06578947368422,129.70588235294119,1
39,0.389116,0.409116,0.0046668425554941429,2.1779419437771102E-05,0.10000000000000001,0,0,0,0
40,0.399093,0.419093,0.005449351191085589,2.9695428403785926E-05,0.081818181818181818,0,0,0,0
41,0.409070,0.429070,0.0052288307368518021,2.7340670874646162E-05,0.068181818181818177,0,225,0,1
