frame,tStart,tEnd,volNorm,ste,zcr,isSilence,f0Acf,f0Amdf,isVoiced
0,0.000000,0.020000,0.0020082594937494156,4.0331061942346593E-06,0.095454545454545459,0,148.98648648648648,0,1
1,0.009977,0.029977,0.0025314946810047027,6.4084653199551006E-06,0.050000000000000003,0,157.5,79.891304347826093,1
2,0.019955,0.039955,0.0036737252246646394,1.3496257026337255E-05,0.090909090909090912,0,302.05479452054794,0,1
3,0.029932,0.049932,0.0062111705542397715,3.8578639653855188E-05,0.15909090909090909,0,0,79.891304347826093,0
4,0.039909,0.059909,0.018803564403728042,0.00035357403428514829,0.15227272727272728,0,0,144.11764705882354,0
5,0.049887,0.069887,0.042903911960164486,0.0018407456614855453,0.084090909090909091,0,0,79.891304347826093,0
6,0.059864,0.079864,0.060144638620414172,0.0036173775547802159,0.05909090909090909,0,134.45121951219511,133.63636363636363,1
7,0.069841,0.089841,0.073807858551360059,0.0054475999839375738,0.029545454545454545,0,134.45121951219511,135.27607361963192,1
8,0.079819,0.099819,0.085440761817004066,0.0073001237798700196,0.022727272727272728,0,132.83132530120483,80.769230769230774,1
9,0.089796,0.109796,0.092537332156387181,0.0085631578426215299,0.040909090909090909,0,131.25,81.365313653136525,1
10,0.099773,0.119773,0.088211867512776029,0.0077813335700915509,0.045454545454545456,0,128.19767441860466,128.19767441860466,1
11,0.109751,0.129751,0.077446024233519317,0.005997886669578862,0.031818181818181815,0,126.72413793103448,79.891304347826093,1
12,0.119728,0.139728,0.067789934817437697,0.004595475262552451,0.038636363636363635,0,0,79.891304347826093,0
13,0.129705,0.149705,0.053803248385502329,0.0028947895368320589,0.036363636363636362,0,0,117.28723404255319,0
14,0.139683,0.159683,0.032217626044056591,0.0010379754279146733,0.043181818181818182,0,0,0,0
15,0.149660,0.169660,0.015339739375636869,0.00023530760411246418,0.15681818181818183,0,0,79.891304347826093,0
16,0.159637,0.179637,0.017984792618512276,0.00032345276553089362,0.29318181818181815,0,0,79.891304347826093,0
17,0.169615,0.189615,0.021425815385190068,0.00045906556492024739,0.32272727272727275,0,0,81.970260223048328,0
18,0.179592,0.199592,0.018295976228587675,0.00033474274615704529,0.31818181818181818,0,0,80.769230769230774,0
19,0.189569,0.209569,0.016584943105130825,0.00027506033780042651,0.30909090909090908,0,0,80.474452554744531,0
20,0.199546,0.219546,0.019725272753349413,0.00038908638519402866,0.28636363636363638,0,0,81.066176470588232,0
21,0.209524,0.229524,0.013721793418624617,0.00018828761462340985,0.29999999999999999,0,259.41176470588238,81.666666666666671,1
22,0.219501,0.239501,0.006183012769658827,3.8229646909764116E-05,0.30909090909090908,0,0,81.365313653136525,0
23,0.229478,0.249478,0.0030087799256725166,9.0527566411299142E-06,0.21590909090909091,0,0,0,0
24,0.239456,0.259456,0.0031585490624744935,9.9764321800585022E-06,0.086363636363636365,0,0,81.066176470588232,0
25,0.249433,0.269433,0.013246943723892797,0.00017548151802398274,0.027272727272727271,1,0,0,0
26,0.259410,0.279410,0.022661090230172994,0.00051352501042004192,0.052272727272727269,0,0,79.891304347826093,0
27,0.269388,0.289388,0.0074978657952693402,5.6217991483869941E-05,0.052272727272727269,0,0,136.95652173913044,0
28,0.279365,0.299365,0.016281564599740818,0.00026508934581553342,0.015909090909090907,1,0,0,0
29,0.289342,0.309342,0.024736266338268358,0.00061188287235774822,0.015909090909090907,1,0,0,0
30,0.299320,0.319320,0.017091015254525162,0.00029210280243041186,0.022727272727272728,1,0,0,0
31,0.309297,0.329297,0.016631499723412629,0.00027660678304987433,0.029545454545454545,1,0,0,0
32,0.319274,0.339274,0.016843481553954397,0.00028370287085840198,0.025000000000000001,1,0,0,0
33,0.329252,0.349252,0.0099129371827742629,9.8266323589628546E-05,0.025000000000000001,1,0,0,0
34,0.339229,0.359229,0.0071829860196186901,5.1595288158037548E-05,0.027272727272727271,1,0,0,0
35,0.349206,0.369206,0.0061991345678554443,3.8429269390380311E-05,0.015909090909090907,1,0,0,0
36,0.359184,0.379184,0.0038640269462668617,1.4930704241476408E-05,0.036363636363636362,0,0,92.259414225941427,0
37,0.369161,0.389161,0.0016220910257290404,2.6311792957506904E-06,0.15227272727272728,0,0,0,0
38,0.379138,0.399138,0.00092809753032285357,8.6136502579138002E-07,0.18181818181818182,0,0,0,0
39,0.389116,0.409116,0.0013476705966003759,1.8162160369412131E-06,0.13409090909090909,0,0,81.365313653136525,0
40,0.399093,0.419093,0.0013187569618798569,1.7391199245065904E-06,0.15227272727272728,0,0,0,0
41,0.409070,0.429070,0.0012270199802901535,1.5055780320312487E-06,0.21818181818181817,0,0,0,0
42,0.419048,0.439048,0.001039537672983915,1.0806385735528132E-06,0.23181818181818181,0,0,0,0
43,0.429025,0.449025,0.0039732827800863695,1.5786976050530866E-05,0.23181818181818181,0,0,0,0
