frame,tStart,tEnd,volNorm,ste,zcr,isSilence,f0Acf,f0Amdf,isVoiced
0,0.000000,0.020000,0.0016646930041925938,2.7712027982077632E-06,0.12727272727272726,0,0,79.891304347826093,0
1,0.009977,0.029977,0.0014593410553328605,2.1296763157800274E-06,0.15681818181818183,0,0,79.891304347826093,0
2,0.019955,0.039955,0.0024814692018167409,6.157689399565013E-06,0.11818181818181818,0,302.05479452054794,0,1
3,0.029932,0.049932,0.0032582174643759226,1.0615981045164265E-05,0.090909090909090912,0,302.05479452054794,0,1
4,0.039909,0.059909,0.0076398640737791942,5.8367523065822032E-05,0.19545454545454546,0,0,0,0
5,0.049887,0.069887,0.012361969004624,0.00015281827767128447,0.26818181818181819,0,0,0,0
6,0.059864,0.079864,0.019767462773627731,0.00039075258450675817,0.26136363636363635,0,0,0,0
7,0.069841,0.089841,0.026785989883906087,0.00071748925406071927,0.23181818181818181,0,262.5,0,1
8,0.079819,0.099819,0.010535349893594849,0.000110993597380469,0.17272727272727273,0,0,113.65979381443299,0
9,0.089796,0.109796,0.064211421838346411,0.0041231066945020701,0.074999999999999997,0,0,79.891304347826093,0
10,0.099773,0.119773,0.077771799144389434,0.0060484527421552524,0.029545454545454545,0,143.18181818181819,79.891304347826093,1
11,0.109751,0.129751,0.064546159081821444,0.0041662066522158,0.072727272727272724,0,138.67924528301887,138.67924528301887,1
12,0.119728,0.139728,0.025609790176262449,0.0006558613528721886,0.077272727272727271,0,0,0,0
13,0.129705,0.149705,0.0062842495481838945,3.9491792383849479E-05,0.038636363636363635,0,225,0,1
14,0.139683,0.159683,0.0041976229248087919,1.7620038218880315E-05,0.05909090909090909,0,212.01923076923077,212.01923076923077,1
15,0.149660,0.169660,0.0028816821326132585,8.3040919134224979E-06,0.065909090909090903,0,208.01886792452831,81.365313653136525,1
16,0.159637,0.179637,0.0032083828840430385,1.0293720730620326E-05,0.065909090909090903,0,214.07766990291262,83.522727272727266,1
17,0.169615,0.189615,0.0031484889280883723,9.9129825302950687E-06,0.090909090909090912,0,206.07476635514018,204.16666666666666,1
18,0.179592,0.199592,0.0056870125381510758,3.2342111609087542E-05,0.20681818181818182,0,0,0,0
19,0.189569,0.209569,0.0063794479798165767,4.0697356527185799E-05,0.35681818181818181,0,0,0,0
20,0.199546,0.219546,0.0068607691808875585,4.7070153753416535E-05,0.45227272727272727,0,0,80.769230769230774,0
21,0.209524,0.229524,0.0044160408224415849,1.9501416545470553E-05,0.42954545454545456,0,0,0,0
22,0.219501,0.239501,0.0040043751954256593,1.6035020705740285E-05,0.29545454545454547,0,0,0,0
23,0.229478,0.249478,0.0032773140105724166,1.0740787123894259E-05,0.20909090909090908,0,0,0,0
24,0.239456,0.259456,0.0079427040281848573,6.3086547279343966E-05,0.125,0,0,169.61538461538461,0
25,0.249433,0.269433,0.055041090262210671,0.0030295216172528221,0.052272727272727269,0,0,79.891304347826093,0
26,0.259410,0.279410,0.071337803435434666,0.0050890821989927146,0.047727272727272729,0,0,82.276119402985074,0
27,0.269388,0.289388,0.07122320032972515,0.0050727442652081598,0.052272727272727269,0,127.45664739884393,127.45664739884393,1
28,0.279365,0.299365,0.071285852157100038,0.0050816727177639244,0.05909090909090909,0,125.28409090909091,125.28409090909091,1
29,0.289342,0.309342,0.068466671204827009,0.0046876850658698881,0.061363636363636363,0,123.87640449438203,0,1
30,0.299320,0.319320,0.068389911449439483,0.0046771799880621729,0.061363636363636363,0,0,85.797665369649806,0
31,0.309297,0.329297,0.062110929359834088,0.0038577675459423003,0.054545454545454543,0,0,119.83695652173913,0
32,0.319274,0.339274,0.053405311321339723,0.0028521272773292168,0.036363636363636362,0,119.18918918918919,119.18918918918919,1
33,0.329252,0.349252,0.034590527603553078,0.0011965045998921676,0.05909090909090909,0,116.05263157894737,116.66666666666667,1
34,0.339229,0.359229,0.023154464515532679,0.00053612922700106193,0.10227272727272728,0,0,79.891304347826093,0
35,0.349206,0.369206,0.019530335371222219,0.00038143399971241369,0.093181818181818185,0,0,81.066176470588232,0
36,0.359184,0.379184,0.021806618298640008,0.00047552860162258131,0.068181818181818177,0,0,119.83695652173913,0
37,0.369161,0.389161,0.027770394045100563,0.00077119478542015687,0.050000000000000003,0,0,79.891304347826093,0
38,0.379138,0.399138,0.033573509338831894,0.0011271805293246323,0.043181818181818182,0,117.9144385026738,117.9144385026738,1
39,0.389116,0.409116,0.044409843961152669,0.001972234240653928,0.047727272727272729,0,119.18918918918919,119.18918918918919,1
40,0.399093,0.419093,0.054194590176797591,0.0029370536044310458,0.047727272727272729,0,119.83695652173913,120.49180327868852,1
41,0.409070,0.429070,0.055118386451712693,0.0030380365250403454,0.050000000000000003,0,0,86.470588235294116,0
42,0.419048,0.439048,0.047888436358023041,0.0022933023368164234,0.052272727272727269,0,0,86.811023622047244,0
43,0.429025,0.449025,0.041778368443061528,0.0017454320697641991,0.056818181818181816,0,0,81.365313653136525,0
44,0.439002,0.459002,0.036644686914785118,0.0013428330790826236,0.061363636363636363,0,0,109.15841584158416,0
45,0.448980,0.468980,0.029825490203304023,0.00088955986586738414,0.05909090909090909,0,0,107.03883495145631,0
46,0.458957,0.478957,0.022913297041251314,0.00052501918130061617,0.065909090909090903,0,0,106.00961538461539,0
